值;zhi2;value
交集;jiao1ji2;intersection (of sets)
包含;bao1han2;contain
元素;yuan2su4;element
元素個數;yuan2su4ge4shu4;number of elements
互斥;hu4zhi4;mutually exclusive (disjoint)
空集;kong1ji2;empty set
非空;fei1kong1;nonempty
多種集;duo1zhong3ji2;multiset
集合劃分;ji2he2hua4fen1;partition (of set)
棋盤;qi2pan2;chessboard
格;ge2;grid
表格;biao1ge2;table (as a grid)
方格;fang1ge2;square (of a grid)
標;biao1;mark
標籤;biao1qian1;label (noun)
編號;bian1hao4;numbered
兵;bing1;pawn
卒;zu2;pawn
馬;ma3;knight
象;xiang4;bishop
車;che1;rook
后;hou4;queen
王;wang2;king
甲;jia3;A (Alice)
乙;yi3;B (Bob)
丙;bing3;C
丁;ding1;D
輪流;lun2liu2;take turns
回合;hui2he2;round
移動;yi2dong4;move
操作;cao1zuo4;operation
選擇;xuan3ze2;select
移走;yi2zou3;remove
勝;sheng4;victory
獲勝;huo4sheng4;to win
輸;shu1;lose
必勝法;bi4sheng4fa3;winning strategy
策略;ce4lue4;tactic
圖論;tu2lun4;graph theory
圖;tu2;graph
同構;tong2gou4;isomorphic
自同構;zi4tong2gou4;automorphism
點色數;dian3se4shu4;chromatic number
入度;ru4du4;indegree
出度;chu1du4;outdegree
子圖;zi3tu2;subgraph
自環;zi4huan2;cycle
路徑;lu4jing4;path
簡單圖;jian3dan1tu2;simple graph
完全圖;wan2quan2tu2;complete graph
二部圖;er4bu4tu2;bipartite graph
有向圖;you3xiang4tu2;directed graph
無環圖;wu2huan2tu2;acyclic graph
補圖;bu3tu2;complement of graph
樹;shu4;tree
連通圖;lian2tong1tu2;connected graph
連通分量;lian2tong1fen1liang4;connected component
強連通;qiang2lian2tong1;strongly connected
正則圖;zheng4ze2tu2;regular graph
字符串;zi4fu2chuan4;string / word
回文;hui2wen2;palindrome
連接;lian2jie1;concatenate
空字符串;kong1zi4fu2chuan4;empty string
位數;wei4shu4;digit
附加;fu4jia1;append
十進制數;shi2jin4zhi4shu4;decimal digit
底數;di1shu4;base / radix
二進制;er4jin4zhi4;binary
染色;ran3se4;coloring
紅色;hong2se4;red
綠色;lv4se4;green
藍色;lan2se4;blue
黃色;huang2se4;yellow
白;bai2;white
黑;hei1;black
幾何學;ji3he2xue2;Geometry
純幾;chun2ji3;synthetic
中點;zhong1dian3;midpoint
對分;dui4fen1;bisect
共線;gong4xian4;collinear
共圓;gong4yuan2;concyclic (``are concyclic'')
共點;gong4dian3;concurrent
圓內接;yuan2nei4jie1;cyclic (``cyclic quadrilateral'')
角;jiao3;angle
直角;zhi2jiao3;right angle
全等的;quan2deng3de5;congruent
內接於;nei4jie1yu2;is inscribed in
介於;jie4yu2;between
陣點;zhen4dian3;lattice point
交於;jiao1yu2;intersect at (verb)
交點;jiao1dian3;intersect point
定點;ding4dian3;fixed point
相似;xiang1si4;similar (esp. 相似三角形)
位似;wei4si4;homothety
鏡射;jing4she4;reflection
對稱;dui4chen4;symmetric
軌跡;gui3ji4;locus
垂直;chui2zhi2;perpendicular
垂直平分線;chui2zhi2ping2fen1xian4;perpendicular bisector
垂足;chui2zu2;foot
平行;ping2xing2;parallel
距離;ju4li2;distance
長度;chang2du4;length
延長;yan2chang2;extend
落;luo4;lies on
線;xian4;line
折線;zhe2xian4;broken line
封閉;feng1bi4;closed
射線;she4xian4;ray
線段;xian4duan4;segment
多邊形;duo1bian1xing2;polygon
簡單;jian3dan1;simple (polygon)
四邊形;si4bian1xing2;quadrilateral
五邊形;wu3bian1xing2;pentagon
正多邊形;zheng4duo1bian1xing2;regular polygon
凸;tu1;convex
凹;ao1;concave
形;xing2;shape
界;jie4;boundary
內部;nei4bu4;interior
界分;jie4fen1;boundary points
週長;zhou1chang2;perimeter
面積;mian4ji1;area
對角線;dui4jiao3xian4;diagonal
凸包;tu1bao1;convex hull
邊;bian1;side, edge
邊長;bian1chang2;side length
區域;qu1yv4;region
多面體;duo1mian4ti3;polyhedron
面;mian4;face
立方體;li4fang1ti3;cube
錐體;zhui1ti3;pyramid
四面體;si4mian4ti3;tetrahedron
圓錐;yuan2zhui1;cone
球面;qiu2mian4;(surface of) sphere
球;qiu2;closed ball
體積;ti3ji1;volume
坐標;zuo4biao1;coordinates
平面;ping2mian4;plane
超平面;chao1ping2mian4;hyperplane
原點;yuan2dian3;origin
軸;zhou2;axis
拋物線;pao1wu4xian4;parabola
菱形;ling2xing2;rhombus
梯形;ti1xing2;trapezoid
平行四邊形;ping2xing2si4bian1xing2;parallelogram
長方形;chang2fang1xing2;rectangle
矩形;ju3xing2;rectangle
正方形;zheng4fang1xing2;square
單位正方形;dan1wei4zheng4fang1xing2;unit square
圓;yuan2;circle
圓周;yuan2zhou1;circumference
圓弧;yuan2hu2;arc
單位圓;dan1wei4yuan2;unit circle
弧;hu2;arc
弦;xian2;chord
半徑;ban4jing4;radius
直徑;zhi2jing4;diameter
圓心;yuan2xin1;center
相切;xiang1qie1;tangent
內切;nei4qie1;internally tangent
切點;qie1dian3;tangency point
圓冪;yuan2mi4;power of a point
根軸;gen1zhou2;radical axis
根心;gen1xin1;radical center
三角形;san1jiao3xing2;triangle
等腰;deng3yao1;isosceles
等邊;deng3bian1;equilateral
等角;deng3jiao3;equilangular
等邊三角形;deng3bian1san1jiao3xing2;equilateral triangle
直角三角形;zhi2jiao3san1jiao3xing2;right triangle
銳角;rui4jiao3;acute
鈍角;dun4jiao3;obtuse
不等邊三角形;bu4deng3bian1san1jiao3xing2;scalene triangle
頂點;ding3dian3;vertex
重心;zhong4xin1;centroid/barycenter
垂心;chui2xin1;orthocenter
內心;nei4xin1;incenter
內接圓;nei4jie1yuan2;incircle
外心;wai4xin1;circumcenter
外接圓;wai4jie1yuan2;circumcircle
旁心;pang2xin1;excenter
傍心;bang4xin1;excenter
旁切圓;pang2qie1yuan2;excircle
偽內切圓;wei3nei4qie1yuan2;mixtilinear incircle
高;gao1;altitude / height
底;di3;base
中線;zhong1xian4;median
角平分線;jiao3ping2fen1xian4;angle bisector
陪位中線;pei2wei4zhong1xian4;symmedian
等角中線;deng3jiao3zhong1xian4;symmedian
反演;fan3yan3;inversion
射影;she4ying3;projective
交比;jiao1bi3;cross-ratio
調和;tiao2he2;harmonic
調和點列;tiao2he2dian3lie4;harmonic bundle
行列式;hang2lie4shi4;determinant
極;ji2;pole
