N,Source,YouTube
33,APMO 2009/1,https://youtu.be/uj93tNL8f7M
34,USEMO 2020/1,https://youtu.be/5a_XCGKiXnI
34,USEMO 2020/2,https://youtu.be/5a_XCGKiXnI
34,USEMO 2020/3,https://youtu.be/5a_XCGKiXnI
35,USEMO 2020/4,https://youtu.be/5a_XCGKiXnI
35,USEMO 2020/5,https://youtu.be/5a_XCGKiXnI
35,USEMO 2020/6,https://youtu.be/5a_XCGKiXnI
36,Twitch 036.1,https://youtu.be/8HVWommo3ZU
36,COMC 2020/C4,https://youtu.be/8g21cEWiomg
36,JMO 2013/4,https://youtu.be/Ewp4nw6Mbr4
36,JMO 2012/5,https://youtu.be/5cIgTuYBWKo
37,Shortlist 2003 N8,https://youtu.be/0Ax32Q0Z0Ho
37,Twitch 037.3,https://youtu.be/Rsr1cKKDljs
37,USAMO 1999/3,https://youtu.be/LNBcuBMmN9g
37,IMO 1982/1,https://youtu.be/ls0fTee5eT0
38,RMM 2016/5,https://youtu.be/ZqJNTYGwl8A
38,Shortlist 1995 N8,https://youtu.be/ePkZIVu9YJs
39,TSTST 2020/1,https://youtu.be/zkygeEZ_scc
39,TSTST 2020/2,https://youtu.be/zkygeEZ_scc
39,TSTST 2020/3,https://youtu.be/zkygeEZ_scc
40,USAMO 1998/3,https://youtu.be/769HmeqO8OU
40,TSTST 2013/4,https://youtu.be/gUb0y5VD6As
41,TSTST 2013/9,https://youtu.be/NQe9616AqXU
41,USAMO 1999/1,https://youtu.be/Uv4AtkRVPwo
41,USAMO 1998/4,https://youtu.be/0_e8MuvtsJo
42,Shortlist 2008 N4,https://youtu.be/7pe77MGepSc
42,Cono Sur 2020/6,https://youtu.be/iQkSQ97KWCA
42,TSTST 2011/2,https://youtu.be/U5EgFWrDO-E
43,DeuX MO 2020/I/2,https://youtu.be/KXdg6Kv7d9k
43,Russia 2011/9.8,https://youtu.be/FozF63KHw6E
44,TSTST 2020/4,https://youtu.be/L_JBme8pnKU
44,TSTST 2020/5,https://youtu.be/L_JBme8pnKU
44,TSTST 2020/6,https://youtu.be/L_JBme8pnKU
45,RSL 2018 N1,https://youtu.be/YlhamV8TwSc
45,IMO 1993/6,https://youtu.be/OvHiDzshu7M
45,IMO 1998/1,https://youtu.be/anCyZ5V0dgw
47,CAMO 2020/5,https://youtu.be/ASXM4IsPyic
47,Twitch 047.2,https://youtu.be/tfJRNQMya0c
47,Shortlist 1990/17,https://youtu.be/UWBYzWeJwYc
47,USAMO 1998/6,https://youtu.be/yogTspROyC4
47,PUMaC 2015 C8,https://youtu.be/YuGZ__XHtL8
48,MR J489,https://youtu.be/peeZTuB_cvY
48,IMO 1997/5,https://youtu.be/8UqGUia33mI
48,CMIMC 2017 G9,https://youtu.be/-beq_Y_Npsw
49,HMIC 2015/5,https://youtu.be/DzEdbFcr4DU
49,Iberoamerican 2020/2,https://youtu.be/l18c28zosHk
49,USAMO 1998/1,https://youtu.be/jsw3c3yAn7o
50,TSTST 2020/7,https://youtu.be/NOjZ_DKUgxc
50,TSTST 2020/8,https://youtu.be/NOjZ_DKUgxc
50,TSTST 2020/9,https://youtu.be/NOjZ_DKUgxc
50,USAMO 1997/1,https://youtu.be/5jIFaUjnkg0
50,USAMO 1997/6,https://youtu.be/q4n-74-t1xY
51,ELMO 2013/6,https://youtu.be/qyfqm9u2ulQ
51,Iberoamerican 2020/6,
52,AMC 12A 2021/24,https://youtu.be/O-fh01O_Zao
52,IGO 2020/A4,https://youtu.be/hlP-tSi3Eb8
53,AMC 10B 2021/24,https://youtu.be/wJAPIFfdPJs
53,ToT Fall 2015 S-A7,https://youtu.be/K_-dqUJhSUU
54,Brazil 2015/3,https://youtu.be/IMMkiy8rZ9w
54,ToT Fall 2012 S-A7,https://youtu.be/zmaXZLRUpJg
55,Iberoamerican 2003/6,https://youtu.be/d8d548yI5FA
55,Mexico 2020/3,https://youtu.be/A3mS8QrYH6E
56,USA TST 2021/1,https://youtu.be/J3cOwLGB2ZY
56,USA TST 2021/2,https://youtu.be/J3cOwLGB2ZY
56,USA TST 2021/3,https://youtu.be/J3cOwLGB2ZY
57,Brazil 2013/2,https://youtu.be/TqUFlbW8cgE
57,Besant 1895,https://youtu.be/2oMA0RpDBbA
58,CHMMC 2021/6,https://youtu.be/KZ6Gyc4an9M
58,Putnam 2020 B6,https://youtu.be/IQWO75AEeyQ
58,Shortlist 2000 N6,https://youtu.be/2gpmGY2l2VU
59,Twitch 059.1,https://youtu.be/wqNNrhbVlvc
59,ELMO 2010/2,https://youtu.be/-tfVetEaVdo
59,Shortlist 1998 N8,https://youtu.be/46z5jJ-rauc
60,China TST 2021/1/3,https://youtu.be/VpupgdW1PBg
60,CAMO 2021/6,https://youtu.be/te7Lc344aIs
62,Sharygin 2019/23,https://youtu.be/oCtUUKGXuaA
62,Putnam 1972 B6,https://youtu.be/iKfVuypCVos
62,Shortlist 2004 C2,https://youtu.be/Su-mzHWfLjE
62,CAMO 2021/2,https://youtu.be/AlIvbT2FCI4
64,Fary theorem,
64,Shortlist 2014 A2,https://youtu.be/LrqjMNxmzcw
64,ToT Fall 2015 S-A7,https://youtu.be/purSYt9etTE
64,USAMO 1997/4,https://youtu.be/Nc4E8-QtjHk
65,JMO 2021/1,https://youtu.be/9WNgDETHOlI?t=63
65,JMO 2021/3,https://youtu.be/9WNgDETHOlI?t=655
65,JMO 2021/4,https://youtu.be/9WNgDETHOlI?t=317
65,USAMO 2021/1,https://youtu.be/9WNgDETHOlI?t=890
